"id","title","level","programmeType","institution","city","credits","duration","topics","description","officialProgrammeUrl","sourceUrl","intake2027Status","intake2027Label","intake2027Note","availabilitySourceUrl","lastChecked"
"danish-national-academy-of-music:esbjerg:contemporary-rhythmic-musician","Contemporary Rhythmic Musician","master","master","Danish National Academy of Music","Esbjerg","","2 years","it-data | design-architecture-arts","A rhythmic programme with no genre specific boundaries! The master’s programme aims to give you specialised knowledge, skills and competences to work as a musician at the highest level.…","https://www.sdmk.dk/en/studies/study-programmes/contemporary-rhythmic-musician","https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/contemporary-rhythmic-musician","","","","","2026-08-02"
"royal-danish-academy-architecture-design-and:bornholm:crafts-in-glass-and-ceramics","Crafts in Glass and Ceramics","bachelor","bachelor","Royal Danish Academy — Architecture, Design, Conservation","Bornholm","195","3,3 years","design-architecture-arts","Description Professional Bachelor Crafts in Glass and Ceramics is rooted in the Danish design tradition, in which material-based ways of thinking and experimenting is an important part of the artistic basis for the design of artifacts in…","https://royaldanishacademy.com/programme/craft-glass-and-ceramics","https://studyindenmark.dk/portal/royal-danish-academy-architecture-design-and/bornholm/crafts-in-glass-and-ceramics","","","","","2026-08-02"
"business-academy-copenhagen:ek-guldbergsgade:creative-branding-design-and-business","Creative Branding (Design and Business)","bachelor","bachelor","Business Academy Copenhagen","Ek Guldbergsgade","30","One semester","business-management | design-architecture-arts","Step into the world of creative branding, where we equip you with the skills and knowledge necessary to thrive in the real world. Whether you aspire to pursue a career in advertising, design agencies, or within a marketing department, our…","https://www.ek.dk/english/exchange/creative-branding-design-and-business","https://studyindenmark.dk/portal/business-academy-copenhagen/ek-guldbergsgade/creative-branding-design-and-business","","","","","2026-08-02"
"aalborg-university-aau:aalborg:culture-communication-and-globalization-ma","Culture, Communication and Globalization, MA","master","master","Aalborg University (AAU)","Aalborg","","2 years","society-politics | humanities-culture | communication-media | education-learning","An international two-years Master’s programme in English which provides you with high-quality education with a strong international profile in the subjects central to the demands of today’s world, but also trains you in solving the problems…","https://www.en.aau.dk/education/master/culture-communication-and-globalization","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/culture-communication-and-globalization-ma","","","","","2026-08-02"
"aalborg-university-aau:copenhagen:cyber-security-msc-in-engineering","Cyber Security, MSc in Engineering","master","master","Aalborg University (AAU)","Copenhagen","","2 years","it-data | engineering-technology | natural-science | sustainability-climate | society-politics | education-learning","Description Cyber Security is a cross-curricular master’s programme which draws on a number of research environments gathered in the cyber security research programme.The Cyber Security educational programme equips you with the skills to…","https://www.en.aau.dk/education/master/cyber-security/","https://studyindenmark.dk/portal/aalborg-university-aau/copenhagen/cyber-security-msc-in-engineering","","","","","2026-08-02"
"university-of-southern-denmark-sdu:kolding:data-driven-business-development","Data Driven Business Development","master","master","University of Southern Denmark (SDU)","Kolding","","2 years","business-management | it-data | society-politics","Description In companies, data is becoming increasingly essential. In this program, you will gain strong analytical skills to work with data from various sources along with a solid understanding of business and an innovative mindset.…","https://www.sdu.dk/en/uddannelse/kandidat/candmerc-data-driven-business-development","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/kolding/data-driven-business-development","","","","","2026-08-02"
"it-university-of-copenhagen-itu:kobenhavn:data-science","Data Science","master","master","IT University of Copenhagen (ITU)","Kobenhavn","","2 years","it-data | natural-science","Description With an MSc in Data Science from the IT University of Copenhagen you will become a lead data scientist with advanced analytical and technical skills covering all aspects of handling, analyzing, presenting and operationalizing…","https://en.itu.dk/Programmes/MSc-Programmes/Data-Science","https://studyindenmark.dk/portal/it-university-of-copenhagen-itu/kobenhavn/data-science","","","","","2026-08-02"
"aarhus-university-au:aarhus:data-science","Data Science","bachelor","bachelor","Aarhus University (AU)","Aarhus","","3 years","it-data | natural-science | education-learning","CORE COMPETENCIES Through the Bachelor’s degree programme in Data Science, you will develop a strong foundation in mathematics, statistics, programming and machine learning.…","https://bachelor.au.dk/en/datascience","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/data-science","","","","","2026-08-02"
"university-of-southern-denmark-sdu:kolding:data-science-msc","Data Science (MSc)","master","master","University of Southern Denmark (SDU)","Kolding","","2 years","business-management | it-data | natural-science","Master’s in Data Science: Shape the Future of Data Data is the world’s fastest-growing resource, doubling every two years, and by 2025, businesses will create 60% of it.…","https://www.sdu.dk/en/uddannelse/kandidat/data-science-kolding","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/kolding/data-science-msc","","","","","2026-08-02"
"kolding-school-of-design:campus-kolding:design-for-people","Design for People","master","master","Design School Kolding","Campus Kolding","","2 years","it-data | design-architecture-arts | society-politics","Description Design for People is aimed at students who are professionally bold, possess a social and societal awareness, wish to adopt an exploratory, critical and open-minded approach and want to focus their design practices on social…","https://www.designskolenkolding.dk/en/design-people","https://studyindenmark.dk/portal/kolding-school-of-design/campus-kolding/design-for-people","","","","","2026-08-02"
"kolding-school-of-design:campus-kolding:design-for-planet","Design for Planet","master","master","Design School Kolding","Campus Kolding","","2 years","design-architecture-arts | sustainability-climate","Description Design for Planet is for those who are professionally bold and curious and who want to direct their practice towards sustainable agendas. The Programme enables you to adopt sustainability as a fundamental mindset.…","https://www.designskolenkolding.dk/en/design-planet","https://studyindenmark.dk/portal/kolding-school-of-design/campus-kolding/design-for-planet","","","","","2026-08-02"
"kolding-school-of-design:campus-kolding:design-for-play","Design for Play","master","master","Design School Kolding","Campus Kolding","","2 years","design-architecture-arts","Description Design for Play is for students who like to explore new paths and challenge themselves and others through playful experiences.…","https://www.designskolenkolding.dk/en/design-for-play","https://studyindenmark.dk/portal/kolding-school-of-design/campus-kolding/design-for-play","","","","","2026-08-02"
"aalborg-university-aau:aalborg:design-of-mechanical-systems-specialisation-of","Design of Mechanical Systems, Specialisation of Mechanical Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology | design-architecture-arts","Description Do you enjoy working with mechanics, and do you dream about working with mechanical systems of all shapes and sizes in relation to industrial production?…","https://www.en.aau.dk/education/master/mechanical-engineering/design-of-mechanical-systems","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/design-of-mechanical-systems-specialisation-of","","","","","2026-08-02"
"business-academy-aarhus:aarhus:digital-concept-development-top-up-2027","Digital Concept Development","bachelor","top-up-bachelor","Business Academy Aarhus","Aarhus","90 ECTS","1 year 6 months","design-architecture-arts | it-data | communication-media | business-management","Anglický Top-up program pro absolventy kompatibilního AP degree. Zaměřuje se na UX, digitální koncepty, design, technologie a digitální business.","https://www.baaa.dk/programmes/digital-concept-development/","https://www.baaa.dk/programmes/digital-concept-development/","confirmed-2027","Poslední nástup: srpen 2027","Škola potvrzuje poslední start v srpnu 2027. Je nutný kompatibilní AP degree nebo srovnatelné předchozí vzdělání.","https://www.baaa.dk/programmes/digital-concept-development/","2026-08-02"
"university-of-southern-denmark-sdu:odense:economics","Economics","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management","Description The MSc in Economics is a two-year degree programme of 120 ECTS. This programme is intended to equip you with the main tools of the professional economist, whether you intend to work in government, finance and banking,…","https://www.sdu.dk/en/uddannelse/kandidat/candmerc-accounting-finance","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/economics","","","","","2026-08-02"
"university-of-copenhagen-ucph:city-campus:economics","Economics","master","master","University of Copenhagen (UCPH)","City Campus","","2 years","business-management","Description The stereotype economist is a business person in a black suit, but an MSC in Economics offers you a wide variety of other possibilities as well.…","https://www.ku.dk/studies/masters/economics","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/city-campus/economics","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics","Economics","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | natural-science | sustainability-climate | society-politics","AN INTERNATIONALLY RENOWNED RESEARCH ENVIRONMENT The two-year MSc programme in Economics gives students an in-depth knowledge of a range of economics and management disciplines.…","https://masters.au.dk/economicsandmanagement","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:economics-and-business-administration","Economics and Business Administration","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management","Career Opportunities Whether you want a career as self-employed or as a manager in public or private companies this degree will boost your future career.…","https://www.sdu.dk/en/candmerc","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/economics-and-business-administration","","","","","2026-08-02"
"aalborg-university-aau:aalborg:economics-and-business-administration","Economics and Business Administration","master","master","Aalborg University (AAU)","Aalborg","","2 years","business-management","Get a Master’s in Economics and Business Administration (MSc in Economics and Business Administration) at AAU. You will gain deep insight into the theories and methods used within specific business economics fields and have the opportunity…","https://www.en.aau.dk/education/master/economics-and-business-administration","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/economics-and-business-administration","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-business","Economics and Business Administration - Business Intelligence","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management","GENERATING SOLUTIONS Business Intelligence is concerned with the concepts and methods that can improve business decision-making by providing fact-based support systems.…","https://masters.au.dk/businessintelligence","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-business","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-commercial","Economics and Business Administration - Commercial and Retail Management","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management","The MSc in Commercial and Retail Management is based on the growing challenges faced by the consumer goods industry. It has been developed in close collaboration with prominent actors in the industry.…","https://masters.au.dk/retailmanagement","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-commercial","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-digital","Economics and Business Administration - Digital Business Management","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | it-data","The MSc programme in Digital Business Management addresses the increasing demand for business professionals who are able to apply digital technologies and data-driven methods to create new business opportunities, creating graduates who…","https://masters.au.dk/digitalbusinessmanagement","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-digital","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-finance","Economics and Business Administration - Finance","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | education-learning","The Master’s degree programme in finance is a comprehensive, research-based university education in finance with a strong focus on developing quantitative and analytical skills relevant to the financial industry.…","https://masters.au.dk/finance","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-finance","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-finance-and","Economics and Business Administration - Finance and International Business","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | society-politics","The MSc in Finance and International Business (FIB) is meticulously crafted to equip you with advanced corporate and financial skills and prepare you for diverse and rewarding career paths in the global business landscape.…","https://masters.au.dk/financeandinternationalbusiness","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-finance-and","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-innovation","Economics and Business Administration - Innovation Management","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | engineering-technology","The MSc in Innovation Management is more than just a master's degree; it is the start of a journey towards leadership in innovation. Position yourself at the intersection between innovation, technology, entrepreneurship, and modern business…","https://masters.au.dk/innovationmanagement","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-innovation","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration","Economics and Business Administration - International Business","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | society-politics","In today's rapidly changing and interconnected world, firms face an increasing array of choices regarding markets, locations for key activities, ownership modes, and organisation and processes for managing across borders.…","https://masters.au.dk/internationalbusiness","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration","","","","","2026-08-02"
"aarhus-university-au:herning:economics-and-business-administration","Economics and Business Administration - International Business Development","master","master","Aarhus University (AU)","Herning","","2 years","business-management | engineering-technology | natural-science | sustainability-climate | society-politics","The role of business development has evolved considerably in recent years due to advances in technology and a need for environmental sustainability.…","https://masters.au.dk/intbusinessdevelopment","https://studyindenmark.dk/portal/aarhus-university-au/herning/economics-and-business-administration","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-management","Economics and Business Administration - Management Accounting and Control","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | humanities-culture","Management Accounting – also known as Management Control – is a fundamental aspect of business administration. Management Accounting is the primary language of business, and it creates the foundation for discussions of a company’s financial…","https://masters.au.dk/managementaccountingandcontrol","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-management","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-marketing","Economics and Business Administration - Marketing Analytics and Strategy","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management","The Marketing Analytics and Strategy programme focuses on customer centricity in order to co-create products and services of value to the target market and target customer group that the company is serving.…","https://masters.au.dk/marketing","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-marketing","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-operations","Economics and Business Administration - Operations and Supply Chain Analytics","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | it-data","By joining the Operations and Supply Chain Analytics (OSCA) programme, you will learn how to address complex problems and make more effective decisions based on data, methodical consideration of available options, and careful predictions of…","https://masters.au.dk/operationsandsupplychainanalytics","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-operations","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-strategic","Economics and Business Administration - Strategic Value Chain Management","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | society-politics","Management extends beyond a single company. A company is dependent on money, supplies, services, and knowledge from a range of suppliers and customers, often spread out over the global business landscape.…","https://masters.au.dk/businesstobusiness","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-strategic","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-strategy","Economics and Business Administration - Strategy, Organisation and Leadership","master","master","Aarhus University (AU)","Aarhus","","2 years","business-management | it-data | sustainability-climate | society-politics","It is a time of transitions in the business community with increasing globalisation, sustainability efforts and digitalisation on the agenda.…","https://masters.au.dk/strategyorganisationandleadership","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-strategy","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:economics-and-business-administration-2013-global","Economics and Business Administration – Global Business Relationships","bachelor","bachelor","University of Southern Denmark (SDU)","Sønderborg","","3 years","business-management | society-politics","Description The business world is becoming increasingly internationalised. Today, this goes not only for major conglomerates, but for many small and medium-sized companies as well.…","https://www.sdu.dk/en/uddannelse/bachelor/ha_global_business_relationships","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/economics-and-business-administration-2013-global","","","","","2026-08-02"
"aarhus-university-au:aarhus:economics-and-business-administration-aarhus","Economics and Business Administration (Aarhus)","bachelor","bachelor","Aarhus University (AU)","Aarhus","","3 years","business-management | it-data | law","This programme aims to give students a broad introduction to a number of economic, legal, and organisational issues within the field of business.…","https://bachelor.au.dk/en/economics-and-business-administration","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/economics-and-business-administration-aarhus","","","","","2026-08-02"
"aarhus-university-au:herning:economics-and-business-administration-herning","Economics and Business Administration (Herning)","bachelor","bachelor","Aarhus University (AU)","Herning","","3 years","business-management | it-data | law","This programme aims to give students a broad introduction to a number of economic, legal, and organisational issues within the field of business.…","https://bachelor.au.dk/en/economics-and-business-administration-auhe","https://studyindenmark.dk/portal/aarhus-university-au/herning/economics-and-business-administration-herning","","","","","2026-08-02"
"aarhus-university-au:aarhus:electrical-engineering","Electrical Engineering","master","master","Aarhus University (AU)","Aarhus","","2 years","it-data | engineering-technology","SPECIALISE AS YOU CHOOSE As a student on the MSc in Electrical Engineering programme, you have the option of specialising in a number of areas within electrical engineering, including analogue and digital electronics and signal processing.…","https://masters.au.dk/electrical-engineering-msc-in-engineering","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/electrical-engineering","","","","","2026-08-02"
"aalborg-university-aau:aalborg:electrical-power-systems-and-high-voltage","Electrical Power Systems and High Voltage Engineering, Specialisation of Energy Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology","Description When you study Energy Engineering, you can choose the specialisation Electrical Power Systems and High Voltage Engineering.…","https://www.en.aau.dk/education/master/energy-engineering/electrical-power-systems-high-voltage-engineering","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/electrical-power-systems-and-high-voltage","","","","","2026-08-02"
"aalborg-university-aau:aalborg:electro-mechanical-systems-design-specialisation","Electro-Mechanical Systems Design, Specialisation of Mechanical Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology | design-architecture-arts","Description Do you want to improve constructions or create new innovative products? As a graduate from the specialisation in Electro-Mechanical System Design, you will be able to engineer systems and devices where mechanics, electronics,…","https://www.en.aau.dk/education/master/mechanical-engineering/electro-mechanical-system-design","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/electro-mechanical-systems-design-specialisation","","","","","2026-08-02"
"the-royal-academy-of-music-aarhus-aalborg:aarhus-departement:electronic-composition","Electronic Composition","master","master","Royal Academy of Music Aarhus/Aalborg","Aarhus Departement","","2 years","design-architecture-arts | natural-science | sustainability-climate | society-politics","The environment at this programme is unique, even by international standards. Based on DIEM, The Danish Institute of Electronic Music, founded in 1986, the programme is very popular and is recognised internationally.…","https://musikkons.dk/en/programmes/electronic/electronic-composition/","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aarhus-departement/electronic-composition","","","","","2026-08-02"
"danish-national-academy-of-music:esbjerg:electronic-music-and-sound-art","Electronic music and sound art","bachelor","bachelor","Danish National Academy of Music","Esbjerg","","3","business-management | it-data | design-architecture-arts","The aim of the programme at SDMK is to give the students basic knowledge, competences and skills within electronic music, sound art and entrepreneurship.…","https://www.sdmk.dk/en/studies/study-programmes/electronic-music-and-sound-art","https://studyindenmark.dk/portal/danish-national-academy-of-music/esbjerg/electronic-music-and-sound-art","","","","","2026-08-02"
"the-royal-academy-of-music-aarhus-aalborg:aalborg-departement:electronic-sound-and-music","Electronic Sound and Music","bachelor","bachelor","Royal Academy of Music Aarhus/Aalborg","Aalborg Departement","","3 years","design-architecture-arts","On this programme the student will be working with the production and performance of electronic music and sound. The programme focus on compositional methods and take an analytical approach to investigating contemporary and older electronic…","https://musikkons.dk/en/programmes/electronic/electronic-sound-and-music/","https://studyindenmark.dk/portal/the-royal-academy-of-music-aarhus-aalborg/aalborg-departement/electronic-sound-and-music","","","","","2026-08-02"
"aalborg-university-aau:aalborg:electronic-systems-msc-in-engineering","Electronic Systems, MSc in Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology | natural-science","Description The Master of Science in engineering programme Electronic Systems at Aalborg University is a two-year, research-based full-time study programme of 120 ECTS.…","https://www.en.aau.dk/education/master/electronic-systems/","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/electronic-systems-msc-in-engineering","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:electronics-beng","Electronics (BEng)","bachelor","bachelor","University of Southern Denmark (SDU)","Sønderborg","","3,5 years","engineering-technology | sustainability-climate","What other engineers build; electronic engineers make intelligent. Are you one of them?Engineers in electronics play an indispensable role in reducing CO2 emissions and making the transition to sustainable energy.…","https://direc.to/iKGa","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/electronics-beng","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:electronics-bsc","Electronics (BSc)","bachelor","bachelor","University of Southern Denmark (SDU)","Sønderborg","","3 years","engineering-technology | society-politics","Electronics engineers are facing an exceptionally bright future. Are you one of them? With a Bachelor’s degree in Electronics Engineering, you can make a real-life impact in society.…","https://direc.to/iKHs","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/electronics-bsc","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:electronics-engineering-msc","Electronics Engineering (MSc)","master","master","University of Southern Denmark (SDU)","Sønderborg","","2 years","engineering-technology | natural-science","Create tomorrow's intelligent solutions As a Master of Science in Electronics Engineering, you become a specialist in power electronics and embedded systems, which are found in almost all modern electronic devices.…","https://direc.to/iJNE","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/electronics-engineering-msc","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:electronics-engineering-msc","Electronics Engineering (MSc)","master","master","University of Southern Denmark (SDU)","Odense","","2 years","engineering-technology | society-politics | communication-media","Want to play a central role in the development of the future's intelligent products? With an MSc in Engineering - Electronics you will be a specialist in microelectronics, embedded and communication systems.…","https://direc.to/nr9A","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/electronics-engineering-msc","","","","","2026-08-02"
"aalborg-university-aau:esbjerg:energy-engineering","Energy Engineering","bachelor","bachelor","Aalborg University (AAU)","Esbjerg","180","3 years","engineering-technology","At Energy Engineering, you can help invent and develop the energy systems of the future. You will, for example, work with dynamic and thermal processes in wind turbines, solar cells, Power-to-X and biofuels.…","https://www.en.aau.dk/education/bachelor/energy-engineering","https://studyindenmark.dk/portal/aalborg-university-aau/esbjerg/energy-engineering","","","","","2026-08-02"
"aalborg-university-aau:aalborg:energy-engineering-msc-in-engineering","Energy Engineering, MSc in Engineering","master","master","Aalborg University (AAU)","Aalborg","","2 years","engineering-technology","Description Imagine a world without oil, coal, and gas. This would result in a lack of electricity and heat. We would not be able to drive our cars or take a bus – and flying would be out of the question as we would not have any fuel.…","https://www.en.aau.dk/education/master/energy-engineering/","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/energy-engineering-msc-in-engineering","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:engineering-innovation-and-business-bsc","Engineering, Innovation and Business (BSc)","bachelor","bachelor","University of Southern Denmark (SDU)","Sønderborg","","3 years","business-management | engineering-technology | society-politics","From idea to implementing a new business opportunity If you are interested in creating your own business or helping existing companies in their business development, then a bachelor's degree in Engineering, Innovation & Business is…","https://direc.to/iKDn","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/engineering-innovation-and-business-bsc","","","","","2026-08-02"
"university-of-southern-denmark-sdu:sonderborg:engineering-innovation-and-business-msc","Engineering, Innovation and Business (MSc)","master","master","University of Southern Denmark (SDU)","Sønderborg","","2 years","business-management | engineering-technology","Become an expert in new technology and business Innovation is only truly fun when it can turn the bottom line from red to black. To do that, you need idea and product developers with a substantial knowledge in and understanding of…","https://direc.to/iJMr","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/sonderborg/engineering-innovation-and-business-msc","","","","","2026-08-02"
"aarhus-university-au:aarhus:english","English","master","master","Aarhus University (AU)","Aarhus","","2 years","society-politics | humanities-culture","English is the language of globalisation. It is the mother tongue of around 350 million people, and an even larger number speak it as a second language.…","https://masters.au.dk/English","https://studyindenmark.dk/portal/aarhus-university-au/aarhus/english","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:english-studies","English Studies","master","master","University of Southern Denmark (SDU)","Odense","","2 years","business-management | society-politics","Description In line with internationalisation and the spread of the internet, there is a growing need for graduates with skills in English – in private business, too.…","https://www.sdu.dk/en/uddannelse/kandidat/engelsk_odense","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/english-studies","","","","","2026-08-02"
"the-royal-danish-academy-of-music:study-programmes-within-music-and-music-pedagogy:ensemble-choir-conducting-master","Ensemble/Choir Conducting - Master","master","master","Royal Danish Academy of Music","Study Programmes Within Music And Music Pedagogy","","2 years","other","About the programme As a ensemble conductor or orchestral conductor, your principal study will be in conducting. As an ensemble conductor, you will work with string and wind ensembles and big bands, and can function as an ensemble leader in…","http://english.dkdm.dk/Studies/Admission","https://studyindenmark.dk/portal/the-royal-danish-academy-of-music/study-programmes-within-music-and-music-pedagogy/ensemble-choir-conducting-master","","","","","2026-08-02"
"aalborg-university-aau:aalborg:entrepreneurial-business-engineering-msc-in","Entrepreneurial Business Engineering, MSc in Technology","master","master","Aalborg University (AAU)","Aalborg","","2 years","business-management | engineering-technology","Get a Master’s in Entrepreneurship and Business Innovation at AAU. Learn to develop, create and strengthen companies and work with methods, processes and organisational and management principles related to innovation and entrepreneurship in…","https://www.en.aau.dk/education/master/entrepreneurial-business-engineering","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/entrepreneurial-business-engineering-msc-in","","","","","2026-08-02"
"via-university-college:campus-herning:entrepreneurship-and-innovation-top-up-2027","Entrepreneurship and Innovation — Design & Business","bachelor","top-up-bachelor","VIA University College","Herning","90 ECTS","1 year 6 months","business-management | design-architecture-arts","Anglický Top-up program pro absolventy kompatibilního AP degree zaměřený na inovace, koncepty, podnikání a rozvoj nových produktů.","https://en.via.dk/programmes/bachelor/design-and-business-bachelor-top-up","https://studyindenmark.dk/portal/via-university-college/campus-herning/entrepreneurship-and-innovation-design-business","confirmed-2027","Poslední nástup: srpen 2027","Vyžaduje kompatibilní AP degree nebo srovnatelné předchozí vzdělání. Současná 1,5letá varianta po tomto nástupu končí.","https://en.via.dk/programmes/bachelor/design-and-business-bachelor-top-up/political-reform","2026-08-02"
"university-of-copenhagen-ucph:frederiksberg-campus:agricultural-development","Environment and Development","master","master","University of Copenhagen (UCPH)","Frederiksberg / Copenhagen","","2 years","natural-science | sustainability-climate | society-politics | education-learning","Description The two-year MSc programme in Environment and Development practices field- and research-based learning, giving you a holistic and realistic understanding of environmental resources and development – from soil fertility…","https://www.ku.dk/studies/masters/environment-and-development","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/agricultural-development","","","","","2026-08-02"
"university-of-copenhagen-ucph:frederiksberg-campus:environmental-and-natural-resource-economics","Environmental and Natural Resource Economics","master","master","University of Copenhagen (UCPH)","Frederiksberg / Copenhagen","","2 years","business-management | natural-science | sustainability-climate","Description With an MSc degree in Environmental and Natural Resource Economics, you will know how to deal with environmental and natural resource problems from an economic perspective and with a solid understanding of basic bio-physical…","https://www.ku.dk/studies/masters/environmental-and-natural-resource-economics","https://studyindenmark.dk/portal/university-of-copenhagen-ucph/frederiksberg-campus/environmental-and-natural-resource-economics","","","","","2026-08-02"
"university-of-southern-denmark-sdu:esbjerg:environmental-and-resource-management","Environmental and Resource Management","master","master","University of Southern Denmark (SDU)","Esbjerg","","2 years","business-management | natural-science | sustainability-climate","Description Exploiting natural and environmental resources, such as fossil fuels, minerals, fish or land, is inherently problematic. Environmental and Resource Management is about solving environmental problems.You will study the…","http://www.sdu.dk/en/Uddannelse/Kandidat/Miljoe_og_ressource_management","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/esbjerg/environmental-and-resource-management","","","","","2026-08-02"
"university-of-southern-denmark-sdu:odense:environmental-engineering-msc","Environmental Engineering (MSc)","master","master","University of Southern Denmark (SDU)","Odense","","2 years","engineering-technology | natural-science | sustainability-climate","We need environmental engineers to turn the tide Massive climate challenges and scarce natural resources threaten our future. Therefore, we need environmental engineers to turn the tide– and this could be you.…","https://direc.to/iJqW","https://studyindenmark.dk/portal/university-of-southern-denmark-sdu/odense/environmental-engineering-msc","","","","","2026-08-02"
"aalborg-university-aau:aalborg:environmental-management-and-sustainability","Environmental Management and Sustainability Science, Specialisation of Urban, Energy and Environmental Planning","master","master","Aalborg University (AAU)","Aalborg","","2 years","business-management | engineering-technology | natural-science | sustainability-climate","Description The Master of Science Programme in Environmental Management and Sustainability Science at Aalborg University is directed at science and engineering students who are interested in topics related to sustainability and…","https://www.en.aau.dk/education/master/urban-energy-and-environmental-planning/environmental-management-and-sustainability","https://studyindenmark.dk/portal/aalborg-university-aau/aalborg/environmental-management-and-sustainability","","","","","2026-08-02"
